age,sex,race,educ,state,weight
45-65,Female,White,College graduate,WV,16
30-44,Male,White,No college degree,WV,20
30-44,Female,White,No college degree,WV,20
45-65,Male,White,No college degree,WV,2
30-44,Female,White,No college degree,WV,1
45-65,Male,White,No college degree,WV,10
45-65,Female,White,No college degree,WV,9
45-65,Male,White,College graduate,WV,12
65+,Female,White,College graduate,WV,11
45-65,Male,White,College graduate,WV,3
45-65,Female,White,No college degree,WV,20
45-65,Female,White,No college degree,WV,35
65+,Female,White,No college degree,WV,18
65+,Female,White,College graduate,WV,5
45-65,Male,White,College graduate,WV,14
45-65,Female,White,College graduate,WV,16
30-44,Female,White,No college degree,WV,27
30-44,Male,White,No college degree,WV,29
65+,Female,White,No college degree,WV,12
45-65,Male,White,College graduate,WV,12
65+,Female,White,College graduate,WV,4
45-65,Male,White,College graduate,WV,6
45-65,Female,White,College graduate,WV,8
30-44,Female,Hispanic/Latino,College graduate,WV,25
45-65,Male,White,College graduate,WV,24
45-65,Female,White,College graduate,WV,23
45-65,Female,White,College graduate,WV,18
65+,Male,White,College graduate,WV,19
45-65,Male,White,College graduate,WV,12
30-44,Female,White,College graduate,WV,13
18-29,Male,White,College graduate,WV,14
45-65,Male,White,No college degree,WV,43
45-65,Female,White,No college degree,WV,46
18-29,Male,White,No college degree,WV,59
45-65,Male,Black,No college degree,WV,64
30-44,Female,Black,College graduate,WV,66
18-29,Female,Black,College graduate,WV,67
18-29,Female,White,College graduate,WV,37
30-44,Male,White,College graduate,WV,28
18-29,Male,White,No college degree,WV,25
30-44,Female,White,No college degree,WV,28
45-65,Male,White,No college degree,WV,26
65+,Female,White,College graduate,WV,16
45-65,Male,White,College graduate,WV,14
65+,Male,White,College graduate,WV,12
65+,Female,White,College graduate,WV,11
45-65,Male,White,College graduate,WV,6
45-65,Female,White,College graduate,WV,6
45-65,Female,White,College graduate,WV,46
45-65,Female,White,No college degree,WV,3
65+,Male,White,College graduate,WV,15
65+,Female,White,College graduate,WV,15
45-65,Male,White,No college degree,WV,20
45-65,Male,White,College graduate,WV,23
30-44,Female,White,College graduate,WV,21
18-29,Male,White,College graduate,WV,23
65+,Male,White,College graduate,WV,12
45-65,Female,White,College graduate,WV,12
45-65,Male,White,College graduate,WV,21
45-65,Female,White,No college degree,WV,23
30-44,Male,White,College graduate,WV,24
30-44,Female,White,No college degree,WV,21
45-65,Female,White,College graduate,WV,9
18-29,Female,White,College graduate,WV,10
18-29,Male,White,College graduate,WV,12
65+,Female,White,College graduate,WV,10
65+,Male,White,College graduate,WV,12
45-65,Male,White,No college degree,WV,44
65+,Female,White,College graduate,WV,16
65+,Male,White,College graduate,WV,20
45-65,Male,White,College graduate,WV,18
45-65,Female,White,College graduate,WV,17
45-65,Female,White,College graduate,WV,6
30-44,Female,White,College graduate,WV,28
18-29,Female,White,College graduate,WV,22
45-65,Male,White,No college degree,WV,20
45-65,Female,White,No college degree,WV,19
18-29,Male,White,No college degree,WV,24
45-65,Male,White,College graduate,WV,19
45-65,Female,White,College graduate,WV,23
45-65,Female,White,College graduate,WV,20
30-44,Female,White,No college degree,WV,17
45-65,Male,White,College graduate,WV,6
45-65,Male,White,No college degree,WV,20
45-65,Female,White,No college degree,WV,24
30-44,Male,White,No college degree,WV,17
18-29,Female,White,No college degree,WV,11
65+,Female,White,No college degree,WV,23
18-29,Female,White,No college degree,WV,10
18-29,Female,White,No college degree,WV,60
18-29,Female,White,No college degree,WV,60
18-29,Male,White,No college degree,WV,56
65+,Female,White,College graduate,WV,19
45-65,Male,White,College graduate,WV,6
45-65,Male,White,No college degree,WV,11
45-65,Female,Other,No college degree,WV,29
45-65,Female,White,College graduate,WV,40
18-29,Male,White,No college degree,WV,14
18-29,Female,White,No college degree,WV,16
65+,Female,White,No college degree,WV,11
45-65,Male,White,College graduate,WV,25
30-44,Female,White,No college degree,WV,24
18-29,Male,White,No college degree,WV,18
30-44,Male,White,No college degree,WV,13
30-44,Female,White,No college degree,WV,12
45-65,Female,White,College graduate,WV,24
18-29,Female,White,College graduate,WV,14
65+,Female,White,College graduate,WV,18
30-44,Male,White,College graduate,WV,21
30-44,Female,White,College graduate,WV,19
65+,Female,White,College graduate,WV,15
45-65,Male,White,No college degree,WV,19
65+,Female,White,College graduate,WV,15
65+,Male,White,College graduate,WV,9
65+,Female,White,College graduate,WV,9
18-29,Male,White,College graduate,WV,11
65+,Male,White,College graduate,WV,23
30-44,Male,White,No college degree,WV,17
30-44,Female,White,No college degree,WV,11
30-44,Female,White,College graduate,WV,11
45-65,Male,White,College graduate,WV,8
18-29,Female,White,College graduate,WV,10
18-29,Male,White,College graduate,WV,14
45-65,Male,White,College graduate,WV,21
30-44,Male,White,College graduate,WV,17
